"LLAVE_AGEB","UNIVERSO_ACT_LEGISLATIVAS","UNIVERSO_AGRICULTURA","UNIVERSO_ALOJAMIENTO_ALIMENTOS_Y_BEBIDAS","UNIVERSO_COMERCIO_MAYOREO","UNIVERSO_COMERCIO_AL_POR_MENOR","UNIVERSO_CONSTRUCCION","UNIVERSO_CORPORATIVOS","UNIVERSO_ELECTRICIDAD_AGUA_Y_GAS","UNIVERSO_IND_MANOFACTURA","UNIVERSO_INF_MEDIOS_MASIVOS","UNIVERSO_MINERIA","UNIVERSO_SERVICIOS_EXCEPTO_GUBERNAMENTALES","UNIVERSO_SERVICIOS_CIENTIFICOS","UNIVERSO_SERVICIOS_EDUCACION","UNIVERSO_SERVICIOS_FINANCIEROS_Y_SEGUROS","UNIVERSO_SERVICIOS_INMOBILIARIOS_Y_ALQUILER","UNIVERSO_SERVICIOS_NEGOCIOS","UNIVERSO_SERVICIOS_RECREATIVOS","UNIVERSO_SERVICIOS_SALUD","UNIVERSO_TRANSPORTE_CORREOS_Y_ALMACENAMIENTO"
"010010001006A",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100100010106",0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
"0100100010182",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100100010229",1,0,39,15,92,1,0,3,4,8,0,18,13,3,35,12,4,6,5,8
"0100100010233",9,1,13,24,38,7,0,0,26,2,0,32,12,2,4,5,7,4,14,0
"0100100010286",3,0,52,11,177,5,0,2,29,3,0,47,16,10,23,7,8,5,55,4
"0100100010290",2,0,26,7,63,9,0,0,16,2,2,34,11,6,9,10,10,4,172,2
"0100100010303",0,0,32,15,68,5,0,0,36,0,0,54,13,3,6,2,4,2,7,3
"0100100010322",1,1,13,15,64,0,0,0,17,0,0,40,8,1,6,4,3,2,4,1
"0100100010337",1,0,22,3,42,0,1,0,12,0,0,24,5,2,2,1,1,1,4,1
"0100100010341",1,0,18,5,67,3,1,0,13,0,0,30,4,4,5,2,9,3,17,2
"0100100010356",4,0,8,3,48,1,0,2,14,0,0,20,8,3,1,0,1,0,7,0
