CVE_MUN,Alcaldia,Delitos_contra_patrimonio,Delitos_contra_familia,Delitos_contra_libertad_personal,Delitos_contra_seguridad_sexual,Delitos_contra_la_sociedad,Delitos_contra_la_vida_y_la_integridad_corporal,Delitos_contra_otros_bienes_juridicos,Total
9010,ÁLVARO OBREGÓN,638,278,8,79,14,83,242,1342
9002,AZCAPOTZALCO,579,178,14,44,14,44,245,1118
9014,BENITO JUÁREZ,995,114,6,44,13,88,236,1496
9003,COYOACÁN ,813,255,9,66,12,53,240,1448
9004,CUAJIMALPA,137,63,7,17,3,29,57,313
9015,CUAUHTÉMOC,1756,326,17,184,66,107,793,3249
9005,GUSTAVO A. MADERO,1001,455,23,120,23,130,406,2158
9006,IZTACALCO,430,261,4,47,16,60,179,997
9007,IZTAPALAPA,1393,609,26,167,30,193,561,2979
9008,MAGDALENA CONTRERAS,142,126,1,25,5,33,94,426
9016,MIGUEL HIDALGO,716,134,10,37,12,53,257,1219
9009,MILPA ALTA,84,92,6,18,4,35,59,298
9011,TLÁHUAC,250,197,3,46,6,53,175,730
9012,TLALPAN,707,232,11,56,10,73,232,1321
9017,VENUSTIANO CARRANZA,632,186,11,59,17,90,202,1197
9013,XOCHIMILCO,326,177,4,36,6,52,133,734
