CVE_LOC,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Población de 15 años y más con educación básica incompleta,Población sin derechohabiencia a servicios de salud,Viviendas con piso de tierra,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,IRS,GRADO_REZAGO,LUGAR_QUE_OCUPA_EN_EL_CONTEXTO_NACIONAL
090020001,"1,0","5,5","15,0","20,9","0,2","0,3","0,2","0,1","0,0","13,6","3,8","-1,24858",Muy bajo,106.110
090030001,"1,1","5,0","12,9","26,2","0,2","0,2","0,1","0,1","0,0","12,6","3,7","-1,27151",Muy bajo,106.427
090040001,"1,4","5,7","17,4","23,5","0,8","0,3","0,2","0,2","0,0","14,3","6,7","-1,20053",Muy bajo,105.400
090040010,"3,0","3,6","33,6","24,0","3,6","1,6","1,6","5,2","0,0","25,5","32,3","-0,81690",Bajo,88.346
090040020,"2,0","7,7","23,8","27,8","1,6","0,2","1,1","0,2","0,1","20,2","13,7","-1,05815",Muy bajo,101.771
090040050,"3,4","2,9","26,0","31,3","1,6","0,8","0,0","0,0","0,0","20,2","8,9","-1,08052",Muy bajo,102.561
090040054,"2,7","24,2","26,3","32,2","8,0","2,5","1,5","1,2","0,0","35,0","22,6","-0,74777",Bajo,83.691
090040055,"3,3","0,0","26,7","26,3","13,0","0,0","0,0","0,0","0,0","56,5","65,2","-0,50122",Bajo,66.999
090040056,"1,3","16,7","31,3","20,4","19,4","0,0","6,5","0,0","0,0","64,5","38,7","-0,44548",Bajo,63.405
090040057,"1,9","6,7","19,2","37,4","0,0","3,1","0,0","0,0","0,0","34,4","25,0","-0,95208",Muy bajo,96.795
090040058,"3,4","29,4","33,9","46,3","0,0","0,0","0,0","0,0","0,0","28,6","4,8","-0,88030",Muy bajo,92.524
090040059,"0,0","0,0","30,0","50,0","0,0","0,0","0,0","0,0","0,0","11,1","0,0","-1,22217",Muy bajo,105.742
090040062,"8,3","0,0","29,2","37,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-1,19363",Muy bajo,105.265
090040063,"3,6","10,1","42,1","49,6","17,6","1,0","10,8","1,0","1,0","44,1","36,3","-0,47839",Bajo,65.520
090040066,"0,0","0,0","0,0","13,2","0,0","0,0","0,0","0,0","0,0","7,1","0,0","-1,45492",Muy bajo,107.871
090040070,"2,9","3,7","22,7","36,8","0,0","0,0","0,0","0,0","0,0","31,1","19,3","-1,00318",Muy bajo,99.453
090040073,"3,6","3,5","38,6","44,4","0,0","0,8","44,2","0,0","0,8","39,5","29,5","-0,62041",Bajo,74.843
090040074,"5,6","13,8","34,7","45,1","0,0","0,0","0,0","0,0","0,0","30,2","41,9","-0,71249",Bajo,81.267
090040077,"5,6","0,0","72,2","39,3","0,0","0,0","0,0","20,0","0,0","80,0","100,0","0,17015",Medio,35.204
090050001,"1,5","4,9","18,9","25,6","0,4","0,2","0,2","0,1","0,0","18,5","6,4","-1,17567",Muy bajo,104.972
090060001,"1,2","4,3","16,4","27,2","0,2","0,2","0,1","0,0","0,0","16,6","5,0","-1,22040",Muy bajo,105.723
090070001,"1,8","5,4","22,3","32,4","0,6","0,1","0,3","0,1","0,1","21,1","8,1","-1,12134",Muy bajo,103.800
090080001,"1,9","4,7","21,2","27,4","0,8","0,3","1,0","0,2","0,1","16,2","7,3","-1,15693",Muy bajo,104.595
090080071,"9,1","0,0","27,3","33,3","0,0","0,0","0,0","0,0","0,0","50,0","50,0","-0,64524",Bajo,76.587
090080075,"10,0","0,0","60,0","50,0","0,0","0,0","0,0","0,0","50,0","100,0","50,0","0,21055",Medio,33.936
090080083,"4,2","1,3","39,1","49,3","13,8","3,4","88,8","100,0","0,0","40,5","26,7","0,12214",Medio,36.795
090080085,"23,8","0,0","81,0","17,4","33,3","0,0","8,3","0,0","16,7","58,3","33,3","0,22784",Medio,33.401
090080088,"4,9","14,5","42,3","46,7","11,4","0,0","14,8","0,0","0,0","45,5","25,0","-0,54575",Bajo,69.882
090080101,"46,7","0,0","73,3","0,0","50,0","0,0","0,0","0,0","21,4","64,3","35,7","0,60414",Alto,23.217
090080104,"0,0","0,0","53,7","31,3","15,4","0,0","7,7","7,7","0,0","61,5","69,2","-0,22084",Bajo,51.070
090080106,"3,8","0,0","38,5","16,2","11,1","0,0","11,1","0,0","11,1","22,2","33,3","-0,67874",Bajo,78.993
090080108,"0,0","25,0","34,2","47,1","15,4","0,0","23,1","7,7","0,0","23,1","30,8","-0,59591",Bajo,73.214
090080111,"0,0","0,0","29,2","37,9","0,0","14,3","0,0","0,0","0,0","14,3","14,3","-1,03240",Muy bajo,100.780
090080112,"0,0","0,0","46,1","56,3","5,9","2,9","2,9","0,0","2,9","29,4","32,4","-0,73521",Bajo,82.828
090090001,"3,1","4,7","23,3","42,9","3,7","0,5","1,5","1,1","0,2","36,3","19,1","-0,92327",Muy bajo,95.154
090090011,"1,8","5,6","18,6","30,1","1,3","0,4","3,6","0,4","0,2","23,8","10,8","-1,09458",Muy bajo,103.009
090090015,"2,0","5,9","19,2","23,3","2,0","0,3","1,2","0,5","0,2","26,5","13,2","-1,06281",Muy bajo,101.956
090090017,"2,8","2,8","23,1","29,1","1,8","1,1","2,3","2,0","0,2","35,3","20,2","-0,94126",Muy bajo,96.215
090090024,"1,9","3,1","22,6","22,2","1,4","0,6","7,5","0,4","0,1","26,5","19,5","-1,00147",Muy bajo,99.379
090090029,"2,9","5,1","26,8","41,9","3,8","0,8","3,3","1,8","0,3","39,2","24,8","-0,83889",Bajo,89.828
090090033,"2,2","2,6","21,9","27,1","1,5","0,7","15,2","0,9","0,2","25,0","16,5","-0,99944",Muy bajo,99.280
090090036,"3,4","3,4","21,8","23,2","3,2","0,8","1,6","1,3","0,2","37,5","24,0","-0,90405",Muy bajo,94.027
090090037,"2,6","5,0","23,0","23,2","7,6","3,2","52,2","7,9","0,0","38,1","20,9","-0,65923",Bajo,77.633
090090045,"4,3","12,5","17,4","19,3","5,9","0,0","0,0","0,0","0,0","29,4","23,5","-0,92242",Muy bajo,95.111
090090046,"2,3","0,0","25,8","28,4","6,6","3,8","90,6","3,8","4,7","34,0","32,1","-0,48619",Bajo,66.033
090090050,"0,0","0,0","22,2","29,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-1,33782",Muy bajo,107.105
090090052,"4,1","10,5","33,8","47,1","0,0","22,6","3,2","22,6","0,0","54,8","41,9","-0,34349",Bajo,57.524
090090054,"3,8","0,0","32,1","16,7","5,6","0,0","100,0","5,6","0,0","44,4","44,4","-0,32594",Bajo,56.500
090090056,"2,5","4,8","30,9","37,3","4,0","0,0","4,0","0,0","0,0","36,0","36,0","-0,78322",Bajo,86.128
090090066,"0,0","0,0","8,3","50,0","0,0","0,0","100,0","0,0","0,0","66,7","33,3","-0,54125",Bajo,69.559
090090067,"7,5","3,1","39,6","54,4","2,3","0,0","22,7","0,0","0,0","43,2","31,8","-0,60611",Bajo,73.879
090090068,"3,3","3,1","24,3","23,5","13,1","2,3","78,5","10,0","5,4","44,6","30,8","-0,38975",Bajo,60.130
090090072,"0,0","0,0","54,5","54,5","0,0","0,0","100,0","0,0","0,0","100,0","100,0","0,33781",Medio,30.034
090090074,"0,0","0,0","16,1","26,3","0,0","0,0","0,0","0,0","0,0","22,2","0,0","-1,26034",Muy bajo,106.251
090090077,"2,8","0,0","28,4","36,4","1,9","1,9","3,7","1,9","0,0","44,4","38,9","-0,75408",Bajo,84.101
090090081,"2,2","0,0","19,1","29,2","5,9","0,0","11,8","0,0","0,0","47,1","26,5","-0,84737",Bajo,90.429
090090082,"4,8","6,7","22,6","20,2","9,1","13,6","4,5","9,1","0,0","40,9","36,4","-0,59969",Bajo,73.466
090090083,"5,3","0,0","42,1","24,0","12,5","0,0","25,0","0,0","0,0","75,0","25,0","-0,41812",Bajo,61.749
090090084,"5,4","0,0","38,4","27,6","2,5","0,0","15,0","2,5","0,0","52,5","42,5","-0,55857",Bajo,70.730
090090088,"8,7","15,6","34,0","48,7","4,0","8,0","14,0","6,0","0,0","58,0","50,0","-0,31557",Bajo,55.921
090090090,"2,6","0,0","34,6","9,1","3,6","0,0","7,1","3,6","3,6","57,1","50,0","-0,53989",Bajo,69.470
