since_value,days_on_site,amenities,age_in_years,bathrooms,cellars,num_floors,monthly_fee,apartments_per_floor,parking_lots,floor_situated,num_bedrooms,m2,universo_act_legislativas,universo_agricultura,universo_alojamiento_alimentos_y_bebidas,universo_comercio_mayoreo,universo_comercio_al_por_menor,universo_construccion,universo_corporativos,universo_electricidad_agua_y_gas,universo_ind_manofactura,universo_inf_medios_masivos,universo_mineria,universo_servicios_excepto_gubernamentales,universo_servicios_cientificos,universo_servicios_educacion,universo_servicios_financieros_y_seguros,universo_servicios_inmobiliarios_y_alquiler,universo_servicios_negocios,universo_servicios_recreativos,universo_servicios_salud,universo_transporte_correos_y_almacenamiento,delitos_contra_patrimonio,delitos_contra_familia,delitos_contra_libertad_personal,delitos_contra_seguridad_sexual,delitos_contra_la_sociedad,delitos_contra_la_vida_y_la_integridad_corporal,delitos_contra_otros_bienes_juridicos,total,pobtot,pobfem,pobmas,población de 15 años o más analfabeta,población de 6 a 14 años que no asiste a la escuela,población de 15 años y más con educación básica incompleta,población sin derechohabiencia a servicios de salud,viviendas con piso de tierra,viviendas que no disponen de excusado o sanitario,viviendas que no disponen de agua entubada de la red pública,viviendas que no disponen de drenaje,viviendas que no disponen de energía eléctrica,viviendas que no disponen de lavadora,viviendas que no disponen de refrigerador,irs,lugar_que_ocupa_en_el_contexto_nacional,distancia_al_metro_mas_cercano,department_type_loft,price_square_meter
12,12,0.0,0,3,0.0,0.0,0,0.0,2,0.0,3,162.0,67,0,57,8,26,3,1,1,1,6,0,9,18,4,49,6,7,13,2,4,1756,326,17,184,66,107,793,3249,718,314,398,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,312.47278384800944,0,63268.3580246914
7,7,0.0,0,1,0.0,0.0,0,0.0,1,0.0,1,39.0,67,0,57,8,26,3,1,1,1,6,0,9,18,4,49,6,7,13,2,4,1756,326,17,184,66,107,793,3249,718,314,398,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,312.47278384800944,0,76410.2564102564
52,52,4.0,0,2,0.0,0.0,0,0.0,1,0.0,2,103.0,3,0,95,31,167,2,1,0,15,3,0,72,81,14,26,16,15,7,135,8,1756,326,17,184,66,107,793,3249,9076,4822,4254,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,573.3195920001681,0,65366.0194174757
4,120,6.0,0,2,0.0,0.0,0,0.0,2,0.0,3,293.0,0,0,40,8,69,16,0,0,19,6,0,75,82,8,7,7,20,5,94,5,1756,326,17,184,66,107,793,3249,7012,3584,3428,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,279.14806082359826,0,37713.3105802048
5,150,0.0,0,2,0.0,0.0,0,0.0,1,0.0,2,151.0,1,0,107,23,120,7,0,0,25,2,0,79,79,17,29,13,21,11,575,5,1756,326,17,184,66,107,793,3249,6618,3519,3098,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,368.2028801014652,0,61882.7814569536
7,7,0.0,0,1,0.0,0.0,0,0.0,1,0.0,1,48.0,0,0,40,8,69,16,0,0,19,6,0,75,82,8,7,7,20,5,94,5,1756,326,17,184,66,107,793,3249,7012,3584,3428,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,377.7483397258183,0,59632.9375
39,39,0.0,0,2,1.0,1.0,0,0.0,1,0.0,2,85.0,2,0,78,17,61,3,0,0,9,5,0,44,51,11,26,10,16,6,24,2,1756,326,17,184,66,107,793,3249,1802,922,871,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,607.3053721447179,0,52294.1176470588
2,60,5.0,0,2,0.0,0.0,0,0.0,2,0.0,2,180.0,1,0,107,23,120,7,0,0,25,2,0,79,79,17,29,13,21,11,575,5,1756,326,17,184,66,107,793,3249,6618,3519,3098,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,330.1870574481794,0,43222.2222222222
46,46,6.0,0,2,0.0,0.0,0,0.0,1,0.0,3,145.0,1,0,135,18,98,7,0,0,13,4,0,55,57,12,18,12,11,3,230,1,1756,326,17,184,66,107,793,3249,5522,2632,2888,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,688.8104543031119,0,62625.2413793103
7,210,5.0,0,2,0.0,0.0,0,0.0,2,0.0,3,111.0,0,0,40,8,69,16,0,0,19,6,0,75,82,8,7,7,20,5,94,5,1756,326,17,184,66,107,793,3249,7012,3584,3428,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,377.7483397258183,0,44594.5945945946
3,90,0.0,0,1,1.0,1.0,0,0.0,1,0.0,1,39.65,2,0,113,20,93,4,0,0,23,8,0,62,82,14,30,23,35,8,43,7,1756,326,17,184,66,107,793,3249,4740,2342,2386,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,125.92988915552093,0,77449.1551071879
3,90,0.0,0,2,0.0,0.0,0,0.0,2,0.0,3,157.0,1,0,36,19,39,6,0,0,4,7,0,24,52,9,12,3,13,1,186,6,1756,326,17,184,66,107,793,3249,3348,1710,1638,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,482.2653696691672,0,5351.96815286624
1,365,4.0,0,2,0.0,0.0,0,0.0,2,0.0,2,93.0,6,0,21,0,26,0,0,0,3,5,0,9,0,7,15,0,2,4,4,0,1756,326,17,184,66,107,793,3249,1168,632,536,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,337.0012750122008,0,60788.0322580645
15,15,2.0,0,1,0.0,0.0,0,0.0,1,0.0,1,80.0,0,0,40,8,69,16,0,0,19,6,0,75,82,8,7,7,20,5,94,5,1756,326,17,184,66,107,793,3249,7012,3584,3428,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,449.5447604685262,0,71250.0
11,330,8.0,0,4,0.0,0.0,0,0.0,2,0.0,3,193.0,3,0,98,21,54,2,0,0,11,5,0,29,49,7,14,12,18,20,12,2,1756,326,17,184,66,107,793,3249,5538,2755,2779,0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0.0,16.3,4.1,-1.24105,106.015,395.9594119162389,0,74518.1347150259
